Country,GDP_PPP_2007,GDP_PPP_2008,GDP_PPP_2009,GDP_PPP_2010,GDP_PPP_2011,GDP_PPP_2012,GDP_PPP_2013,GDP_PPP_2014,GDP_PPP_2015,GDP_PPP_2016,GDP_PPP_2017,GDP_PPP_2018,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021,GDP_PPP_2022,GDP_Education_Exp_2008,GDP_Education_Exp_2009,GDP_Education_Exp_2010,GDP_Education_Exp_2011,GDP_Education_Exp_2012,GDP_Education_Exp_2013,GDP_Education_Exp_2014,GDP_Education_Exp_2015,GDP_Education_Exp_2016,GDP_Education_Exp_2017,GDP_Education_Exp_2018,GDP_Education_Exp_2019,GDP_Education_Exp_2020,ict_access_pct_pop_2012,ict_access_pct_pop_2013,ict_access_pct_pop_2014,ict_access_pct_pop_2015,ict_access_pct_pop_2016,ict_access_pct_pop_2017,ict_access_pct_pop_2018,ict_access_pct_pop_2019,ict_access_pct_pop_2020,ict_access_pct_pop_2021,ict_access_pct_pop_2022,gini_coef_2007,gini_coef_2008,gini_coef_2009,gini_coef_2010,gini_coef_2011,gini_coef_2012,gini_coef_2013,gini_coef_2014,gini_coef_2015,gini_coef_2016,gini_coef_2017,gini_coef_2018,gini_coef_2019,gini_coef_2020,gini_coef_2021,gini_coef_2022,math_2006_Mean,math_2006_SE,math_2009_Mean,math_2009_SE,math_2012_Mean,math_2012_SE,math_2015_Mean,math_2015_SE,math_2018_Mean,math_2018_SE,math_2022_Mean,math_2022_SE,Treatment,Pandemic_Deaths_2020,COVID_Death_Percent_Population,reading_2006_Mean,reading_2006_SE,reading_2009_Mean,reading_2009_SE,reading_2012_Mean,reading_2012_SE,reading_2015_Mean,reading_2015_SE,reading_2018_Mean,reading_2018_SE,reading_2022_Mean,reading_2022_SE,science_2006_Mean,science_2006_SE,science_2009_Mean,science_2009_SE,science_2012_Mean,science_2012_SE,science_2015_Mean,science_2015_SE,science_2018_Mean,science_2018_SE,science_2022_Mean,science_2022_SE,teaching_hours_2013,teaching_hours_2014,teaching_hours_2015,teaching_hours_2016,teaching_hours_2017,teaching_hours_2018,teaching_hours_2019,teaching_hours_2020,teaching_hours_2021,teaching_hours_2022,student_teacher_ratio_2013,student_teacher_ratio_2014,student_teacher_ratio_2015,student_teacher_ratio_2016,student_teacher_ratio_2017,student_teacher_ratio_2018,student_teacher_ratio_2019,student_teacher_ratio_2020,student_teacher_ratio_2021,student_teacher_ratio_2022
Austria,39195.21023,41046.588773,40674.463342,41751.770355,44187.934579,46176.661052,47534.358331,48369.190925,49624.985137,52379.036736,53885.119966,56654.565353,60370.444015,58523.131078,63606.453145,71014.499891,,,,,2.993731,3.071253,2.979963,2.980174,2.988191,2.941086,2.827367,2.800769,2.9595871,100.0,99.8035,99.1802,100.0,99.8318,99.804,98.6644,99.0737,98.9763,100.0,100.0,0.284,0.28,0.289,0.28,0.281,0.276,0.28,0.274,0.275,0.284,0.275,0.28,0.274,0.272,0.281,,506.0,3.3,505.0,3.7,,,506,2.7,497,2.9,499,3.0,Yes,0.8,0.009090909090909,492.0,2.7,491.0,3.8,490.0,4.1,,,490,2.8,485,2.8,511.0,3.9,,,506,2.7,495,2.4,490.0,2.8,491,2.7,30.756556,30.759056,30.721735000000002,30.362437999999997,29.931784,30.143137,30.617688,30.716166,30.787052,30.984943,10.252185333333333,10.253018666666668,10.240578333333334,10.120812666666666,9.977261333333333,10.047712333333333,10.205896000000001,10.238722000000001,10.262350666666666,10.328314333333333
Canada,39575.492232,40376.111571,38864.049261,40098.303365,41666.848683,42291.886605,44300.991977,45758.133114,44668.065118,46470.675161,48317.404026,49982.649045,50498.963113,48590.716417,55781.70262,62041.556862,3.209979,3.324768,3.539711,3.414058,3.339135,3.265116,3.197652,3.170711,3.2598,3.259545,3.221834,3.181777,3.3569641,,,,,,,98.6,,98.2,,99.1,0.317,0.315,0.316,0.316,0.313,0.317,0.319,0.312,0.318,0.307,0.31,0.304,0.3,0.28,0.292,,532.0,1.8,527.0,2.0,527.0,1.6,518,1.8,516,2.3,512,2.4,Yes,2.9,0.0078167115902964,534.0,1.6,528.0,1.7,527.0,2.4,524.0,1.5,523,1.9,520,1.8,534.0,2.0,529.0,1.6,525,1.9,528,2.1,518.0,2.2,515,1.9,30.250680000000003,29.36476,29.94364,29.09944,29.31127,29.943400000000004,29.43508,29.12509,28.09206,28.402540000000002,15.125340000000001,14.68238,14.97182,14.54972,14.655635,14.971700000000002,14.71754,14.562545,14.04603,14.201270000000001
Chile,16771.182748,16449.614266,16028.549544,18041.314313,20235.570348,21458.812331,22295.740021,22650.712398,22563.582179,23384.612377,24479.458726,25496.431051,25733.103669,25236.623574,28776.711223,31227.991341,2.802036,3.031165,2.673376,2.632025,2.929083,2.646546,2.466476,2.630576,2.994949,3.000646,3.02345,3.130065,3.1286011,99.62,95.29,98.29146268,97.84498866,99.61188181,99.58674212,,,,,,,,0.48,,0.471,,0.465,,0.454,,0.46,,,0.496,,0.448,,,,,411.0,4.6,421,3.1,423,3.1,417,2.4,Yes,3.4,0.0181818181818181,410.0,3.6,,,442.0,5.0,449.0,3.1,441,2.9,452,2.6,438.0,4.3,447.0,2.9,445,2.9,447,2.4,444.0,2.4,444,2.5,71.87904,68.02522,65.74398,63.45919,61.33222,60.152339999999995,57.76759,58.32353,58.060900000000004,56.22798,23.959680000000002,22.675073333333334,21.914659999999998,21.153063333333332,20.444073333333332,20.05078,19.255863333333334,19.441176666666667,19.353633333333335,18.74266
Colombia,10228.188007,10651.506633,10720.914286,11206.221832,12108.234854,12530.807654,13266.002148,13777.241959,13762.750912,14514.224389,14930.865719,15814.696386,16712.410595,15950.508981,18141.946227,21630.618644,3.916961,3.506992,3.281409,3.111201,3.019483,3.291633,3.093037,3.123892,3.065175,3.152782,3.204235,3.432741,4.1143298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,3.8,381,3.2,376,2.9,391,3.0,Yes,3.1,0.0063136456211812,,,,,385.0,5.1,413.0,3.7,403,3.4,409,3.8,388.0,3.4,402.0,3.6,399,3.1,416,2.4,413.0,3.1,411,3.3,22.94237,72.46506,76.87303,76.02723,75.06936,74.56141,74.26456,73.95869,75.33597,72.15905,22.94237,24.155019999999997,25.624343333333332,25.34241,25.023120000000002,24.85380333333333,24.754853333333333,24.652896666666667,25.111990000000002,24.053016666666664
Denmark,39118.963207,41474.145014,40506.924302,43044.876027,44446.57809,44761.579789,46883.131074,47880.687634,48906.109829,51814.23663,55270.419717,57231.330513,60568.735529,62700.581101,70370.110899,78255.728928,4.034499,4.505544,4.553352,4.133907,4.513423,4.445553,4.674357,,3.829105,3.733292,3.697377,3.65236,3.6984589,99.6026,99.6646,100.0,99.7967,100.0,100.0,100.0,98.9506,99.736,99.7325,99.358,,,,,0.251,0.249,0.254,0.256,0.263,0.261,0.264,0.263,0.268,,,,514.0,2.7,513.0,2.6,503.0,2.6,500,2.3,511,2.2,489,1.9,No,1.0,0.0172413793103448,497.0,2.4,492.0,2.8,494.0,3.2,495.0,2.1,496,2.6,500,2.5,496.0,3.1,499.0,2.5,498,2.7,502,2.4,493.0,1.9,494,2.5,0.0,35.991910000000004,35.63161,34.47508,34.27927,34.355000000000004,34.10736,35.41854,35.4863,35.61317,,11.997303333333335,11.877203333333334,11.491693333333332,11.426423333333332,11.451666666666668,11.36912,11.80618,11.828766666666667,11.871056666666666
Estonia,22164.669641,22781.183415,20460.095802,21587.112349,24610.451711,26192.961132,27784.711585,29375.58987,29760.31351,31945.124614,34553.447713,37201.036993,40650.011527,40691.474697,45092.819159,49137.218267,3.724383,4.026403,3.7477,3.239097,3.149691,3.097016,2.61887,2.711455,2.69122,2.762699,2.954122,3.048966,3.161783,99.6445,99.1811,100.0,100.0,100.0,99.6613,99.6162,99.4439,99.4739,99.7256,99.1776,,,,,,,0.356,0.346,0.33,0.314,0.309,0.305,0.305,0.305,0.321,,,,515.0,2.7,512.0,2.6,521,2.0,520,2.0,510,2.0,Yes,0.1,0.0076923076923076,,,,,501.0,2.9,501.0,2.6,516,2.0,519,2.2,531.0,2.5,528.0,2.7,541,1.9,534,2.1,530.0,1.9,526,2.1,36.961803,37.412440000000004,38.121186,38.30005,38.824960000000004,38.97892,38.23041,38.19529,38.4555,38.3493,12.320601000000002,12.470813333333334,12.707062,12.766683333333333,12.941653333333335,12.992973333333333,12.74347,12.731763333333333,12.8185,12.7831
Finland,37844.446396,40081.225921,37968.445255,38950.213166,40845.76575,40738.873438,41325.582876,41539.598953,42250.407743,44562.440813,47234.988667,49242.642829,52276.174135,53285.422279,57345.840681,62224.624432,3.557376,3.875,3.907402,3.858106,3.887309,3.878606,3.887987,3.936406,3.819765,3.587321,3.581989,3.699126,3.818289,99.6342,99.6081,99.6982,98.9671,100.0,99.6833,100.0,100.0,100.0,100.0,100.0,0.269,0.264,0.259,0.264,0.264,0.26,0.262,0.257,0.26,0.259,0.266,0.269,0.273,0.265,0.273,0.274,544.0,1.9,548.0,2.3,541.0,2.2,519,1.9,511,2.3,507,2.0,No,0.8,0.0145454545454545,546.0,2.6,543.0,1.6,547.0,2.1,536.0,2.3,524,2.4,526,2.5,563.0,2.0,554.0,2.3,545,2.2,531,2.4,522.0,2.5,511,2.5,38.219637,38.511878,39.028400000000005,39.53082,40.806958,41.369102,39.837458999999996,38.996426,38.791162,38.567420999999996,12.739879,12.837292666666668,13.009466666666668,13.17694,13.602319333333334,13.789700666666667,13.279152999999999,12.998808666666667,12.930387333333334,12.855806999999999
France,34196.53396,35192.053589,34809.904581,36065.758128,37675.402351,37841.735437,39772.37203,40395.672439,41049.722877,42983.74958,44527.541602,46397.534631,51119.646958,49462.66611,53878.485673,57860.342201,3.450149,3.639756,3.59918,3.468539,3.443588,3.430057,3.432445,3.391426,3.371855,3.393905,3.362569,3.343979,3.531127,98.9627,98.475,98.1223,97.85,98.3412,98.1235,96.1309,97.6498,,98.4025,98.9064,,,,,,,,,,,,,,0.278,0.298,,511.0,2.5,496.0,3.2,497.0,3.1,495,2.5,493,2.1,495,2.3,Yes,14.5,0.0216741405082212,505.0,2.7,496.0,2.7,488.0,4.1,496.0,3.4,505,2.8,499,2.5,495.0,3.4,498.0,3.6,499,2.6,495,2.1,493.0,2.2,487,2.7,45.17789,45.15868,45.25402,45.296620000000004,45.055440000000004,44.705619999999996,44.283359999999995,44.310990000000004,44.11776,44.40181,15.059296666666667,15.052893333333332,15.084673333333333,15.098873333333335,15.018480000000002,14.901873333333333,14.761119999999998,14.770330000000001,14.705919999999999,14.800603333333333
Germany,37496.177323,39084.285618,38216.703187,40469.325876,43398.326075,44229.318933,45888.78792,47938.52079,48545.172477,51569.697552,54110.276915,56272.919757,59270.693277,58685.779258,62950.119395,67939.848538,2.665563,,2.912663,2.794813,2.72631,2.71073,2.678556,2.627931,2.600421,2.595507,2.62894,2.696213,2.9056029,99.2189,99.2881,99.2614,99.2863,99.6,99.37,99.6227,99.4621,99.2505,98.4924,97.5763,,0.285,,,0.291,0.289,0.292,0.289,0.293,0.294,0.289,0.289,0.296,0.303,,,503.0,3.3,504.0,3.9,513.0,2.9,514,2.9,506,2.9,500,2.6,No,23.8,0.0287092882991556,484.0,2.5,491.0,3.4,495.0,4.4,497.0,2.7,508,2.8,509,3.0,516.0,3.8,520.0,2.8,524,3.0,509,2.7,503.0,2.9,492,3.5,42.4465,41.88661,41.70563,41.41481,41.249539999999996,40.860839999999996,40.33513,39.87562,39.65938,39.70348,14.148833333333334,13.962203333333333,13.901876666666666,13.804936666666668,13.749846666666665,13.62028,13.445043333333333,13.291873333333333,13.219793333333334,13.234493333333333
Hungary,19089.99024,20708.761512,20680.672506,21693.402118,22992.218466,23221.166963,24591.637972,25796.210176,26937.732143,28178.94493,29728.012222,32258.257766,35627.231655,35583.585618,39213.308281,43892.055969,2.912021,2.844634,2.710769,1.5485,2.415696,2.303172,2.67337,2.624748,2.803348,2.60707,2.540676,2.426399,2.393662,97.6124,98.6216,99.3103,98.1702,100.0,99.4128,98.5709,99.3197,99.2178,99.4085,98.6627,0.257,0.246,0.241,0.266,0.269,0.279,0.286,0.281,0.284,0.28,0.289,0.28,0.286,0.28,0.278,,490.0,2.8,491.0,2.9,490.0,3.5,477,3.2,477,2.5,481,2.3,Yes,5.1,0.0520408163265306,480.0,4.0,482.0,2.5,482.0,3.3,494.0,3.2,488,3.2,470,2.7,504.0,2.7,503.0,3.1,494,2.9,477,2.4,481.0,2.3,486,2.7,22.47107,34.86103,33.30085,32.44054,32.70349,33.04397,32.75468,32.907031,31.77281,32.554429999999996,11.235535,11.620343333333333,11.100283333333332,10.813513333333333,10.901163333333335,11.014656666666667,10.918226666666667,10.969010333333335,10.590936666666666,10.851476666666665
