Country,teaching_hours_lower_secondary_education_2013,teaching_hours_lower_secondary_education_2014,teaching_hours_lower_secondary_education_2015,teaching_hours_lower_secondary_education_2016,teaching_hours_lower_secondary_education_2017,teaching_hours_lower_secondary_education_2018,teaching_hours_lower_secondary_education_2019,teaching_hours_lower_secondary_education_2020,teaching_hours_lower_secondary_education_2021,teaching_hours_lower_secondary_education_2022,teaching_hours_primary_education_2013,teaching_hours_primary_education_2014,teaching_hours_primary_education_2015,teaching_hours_primary_education_2016,teaching_hours_primary_education_2017,teaching_hours_primary_education_2018,teaching_hours_primary_education_2019,teaching_hours_primary_education_2020,teaching_hours_primary_education_2021,teaching_hours_primary_education_2022,teaching_hours_upper_secondary_education_2013,teaching_hours_upper_secondary_education_2014,teaching_hours_upper_secondary_education_2015,teaching_hours_upper_secondary_education_2016,teaching_hours_upper_secondary_education_2017,teaching_hours_upper_secondary_education_2018,teaching_hours_upper_secondary_education_2019,teaching_hours_upper_secondary_education_2020,teaching_hours_upper_secondary_education_2021,teaching_hours_upper_secondary_education_2022,student_teacher_ratio_lower_secondary_education_2013,student_teacher_ratio_lower_secondary_education_2014,student_teacher_ratio_lower_secondary_education_2015,student_teacher_ratio_lower_secondary_education_2016,student_teacher_ratio_lower_secondary_education_2017,student_teacher_ratio_lower_secondary_education_2018,student_teacher_ratio_lower_secondary_education_2019,student_teacher_ratio_lower_secondary_education_2020,student_teacher_ratio_lower_secondary_education_2021,student_teacher_ratio_lower_secondary_education_2022,student_teacher_ratio_primary_education_2013,student_teacher_ratio_primary_education_2014,student_teacher_ratio_primary_education_2015,student_teacher_ratio_primary_education_2016,student_teacher_ratio_primary_education_2017,student_teacher_ratio_primary_education_2018,student_teacher_ratio_primary_education_2019,student_teacher_ratio_primary_education_2020,student_teacher_ratio_primary_education_2021,student_teacher_ratio_primary_education_2022,student_teacher_ratio_upper_secondary_education_2013,student_teacher_ratio_upper_secondary_education_2014,student_teacher_ratio_upper_secondary_education_2015,student_teacher_ratio_upper_secondary_education_2016,student_teacher_ratio_upper_secondary_education_2017,student_teacher_ratio_upper_secondary_education_2018,student_teacher_ratio_upper_secondary_education_2019,student_teacher_ratio_upper_secondary_education_2020,student_teacher_ratio_upper_secondary_education_2021,student_teacher_ratio_upper_secondary_education_2022,GDP_PPP_2007,GDP_PPP_2008,GDP_PPP_2009,GDP_PPP_2010,GDP_PPP_2011,GDP_PPP_2012,GDP_PPP_2013,GDP_PPP_2014,GDP_PPP_2015,GDP_PPP_2016,GDP_PPP_2017,GDP_PPP_2018,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021,GDP_PPP_2022,GDP_Education_Exp_2008,GDP_Education_Exp_2009,GDP_Education_Exp_2010,GDP_Education_Exp_2011,GDP_Education_Exp_2012,GDP_Education_Exp_2013,GDP_Education_Exp_2014,GDP_Education_Exp_2015,GDP_Education_Exp_2016,GDP_Education_Exp_2017,GDP_Education_Exp_2018,GDP_Education_Exp_2019,GDP_Education_Exp_2020,ict_access_pct_pop_2012,ict_access_pct_pop_2013,ict_access_pct_pop_2014,ict_access_pct_pop_2015,ict_access_pct_pop_2016,ict_access_pct_pop_2017,ict_access_pct_pop_2018,ict_access_pct_pop_2019,ict_access_pct_pop_2020,ict_access_pct_pop_2021,ict_access_pct_pop_2022,gini_coef_2007,gini_coef_2008,gini_coef_2009,gini_coef_2010,gini_coef_2011,gini_coef_2012,gini_coef_2013,gini_coef_2014,gini_coef_2015,gini_coef_2016,gini_coef_2017,gini_coef_2018,gini_coef_2019,gini_coef_2020,gini_coef_2021,gini_coef_2022,math_2006_Mean,math_2006_SE,math_2009_Mean,math_2009_SE,math_2012_Mean,math_2012_SE,math_2015_Mean,math_2015_SE,math_2018_Mean,math_2018_SE,math_2022_Mean,math_2022_SE,Treatment,Pandemic_Deaths_2020,COVID_Death_Percent_Population,reading_2006_Mean,reading_2006_SE,reading_2009_Mean,reading_2009_SE,reading_2012_Mean,reading_2012_SE,reading_2015_Mean,reading_2015_SE,reading_2018_Mean,reading_2018_SE,reading_2022_Mean,reading_2022_SE,science_2006_Mean,science_2006_SE,science_2009_Mean,science_2009_SE,science_2012_Mean,science_2012_SE,science_2015_Mean,science_2015_SE,science_2018_Mean,science_2018_SE,science_2022_Mean,science_2022_SE
Austria,8.983603,8.816582,8.729805,8.639338,8.564764,8.499137,8.543038,8.636123,8.733172,8.571602,11.91879,11.95018,11.8426,11.62812,11.267,11.54974,11.98269,12.15034,12.01747,12.68971,9.854163,9.992294,10.14933,10.09498,10.10002,10.09426,10.09196,9.929703,10.03641,9.723631,8.983603,8.816582,8.729805,8.639338,8.564764,8.499137,8.543038,8.636123,8.733172,8.571602,11.91879,11.95018,11.8426,11.62812,11.267,11.54974,11.98269,12.15034,12.01747,12.68971,9.854163,9.992294,10.14933,10.09498,10.10002,10.09426,10.09196,9.929703,10.03641,9.723631,39195.21023,41046.588773,40674.463342,41751.770355,44187.934579,46176.661052,47534.358331,48369.190925,49624.985137,52379.036736,53885.119966,56654.565353,60370.444015,58523.131078,63606.453145,71014.499891,,,,,2.993731,3.071253,2.979963,2.980174,2.988191,2.941086,2.827367,2.800769,2.9595871,100.0,99.8035,99.1802,100.0,99.8318,99.804,98.6644,99.0737,98.9763,100.0,100.0,0.284,0.28,0.289,0.28,0.281,0.276,0.28,0.274,0.275,0.284,0.275,0.28,0.274,0.272,0.281,,506.0,3.3,505.0,3.7,,,506,2.7,497,2.9,499,3.0,Yes,0.8,0.009090909090909,492.0,2.7,491.0,3.8,490.0,4.1,,,490,2.8,485,2.8,511.0,3.9,,,506,2.7,495,2.4,490.0,2.8,491,2.7
Canada,,,,,,,,,,,16.47747,16.57027,16.97779,16.85549,16.22543,16.69084,16.43346,16.3487,15.95369,16.07112,13.77321,12.79449,12.96585,12.24395,13.08584,13.25256,13.00162,12.77639,12.13837,12.33142,,,,,,,,,,,16.47747,16.57027,16.97779,16.85549,16.22543,16.69084,16.43346,16.3487,15.95369,16.07112,13.77321,12.79449,12.96585,12.24395,13.08584,13.25256,13.00162,12.77639,12.13837,12.33142,39575.492232,40376.111571,38864.049261,40098.303365,41666.848683,42291.886605,44300.991977,45758.133114,44668.065118,46470.675161,48317.404026,49982.649045,50498.963113,48590.716417,55781.70262,62041.556862,3.209979,3.324768,3.539711,3.414058,3.339135,3.265116,3.197652,3.170711,3.2598,3.259545,3.221834,3.181777,3.3569641,,,,,,,98.6,,98.2,,99.1,0.317,0.315,0.316,0.316,0.313,0.317,0.319,0.312,0.318,0.307,0.31,0.304,0.3,0.28,0.292,,532.0,1.8,527.0,2.0,527.0,1.6,518,1.8,516,2.3,512,2.4,Yes,2.9,0.0078167115902964,534.0,1.6,528.0,1.7,527.0,2.4,524.0,1.5,523,1.9,520,1.8,534.0,2.0,529.0,1.6,525,1.9,528,2.1,518.0,2.2,515,1.9
Chile,24.2923,22.82782,21.87772,21.08068,20.38932,20.15407,19.213,20.08781,19.85217,19.34682,22.52519,21.31813,20.89122,20.29292,19.77019,19.41067,18.59459,18.6257,18.36397,17.92019,25.06155,23.87927,22.97504,22.08559,21.17271,20.5876,19.96,19.61002,19.84476,18.96097,24.2923,22.82782,21.87772,21.08068,20.38932,20.15407,19.213,20.08781,19.85217,19.34682,22.52519,21.31813,20.89122,20.29292,19.77019,19.41067,18.59459,18.6257,18.36397,17.92019,25.06155,23.87927,22.97504,22.08559,21.17271,20.5876,19.96,19.61002,19.84476,18.96097,16771.182748,16449.614266,16028.549544,18041.314313,20235.570348,21458.812331,22295.740021,22650.712398,22563.582179,23384.612377,24479.458726,25496.431051,25733.103669,25236.623574,28776.711223,31227.991341,2.802036,3.031165,2.673376,2.632025,2.929083,2.646546,2.466476,2.630576,2.994949,3.000646,3.02345,3.130065,3.1286011,99.62,95.29,98.29146268,97.84498866,99.61188181,99.58674212,,,,,,,,0.48,,0.471,,0.465,,0.454,,0.46,,,0.496,,0.448,,,,,411.0,4.6,421,3.1,423,3.1,417,2.4,Yes,3.4,0.0181818181818181,410.0,3.6,,,442.0,5.0,449.0,3.1,441,2.9,452,2.6,438.0,4.3,447.0,2.9,445,2.9,447,2.4,444.0,2.4,444,2.5
Colombia,,26.27563,26.69519,26.19906,26.41088,26.3074,26.86258,28.19328,28.57915,27.04518,,24.28676,24.23937,24.23078,23.60132,23.3015,23.07121,23.76726,24.18987,22.9032,22.94237,21.90267,25.93847,25.59739,25.05716,24.95251,24.33077,21.99815,22.56695,22.21067,,26.27563,26.69519,26.19906,26.41088,26.3074,26.86258,28.19328,28.57915,27.04518,,24.28676,24.23937,24.23078,23.60132,23.3015,23.07121,23.76726,24.18987,22.9032,22.94237,21.90267,25.93847,25.59739,25.05716,24.95251,24.33077,21.99815,22.56695,22.21067,10228.188007,10651.506633,10720.914286,11206.221832,12108.234854,12530.807654,13266.002148,13777.241959,13762.750912,14514.224389,14930.865719,15814.696386,16712.410595,15950.508981,18141.946227,21630.618644,3.916961,3.506992,3.281409,3.111201,3.019483,3.291633,3.093037,3.123892,3.065175,3.152782,3.204235,3.432741,4.1143298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,3.8,381,3.2,376,2.9,391,3.0,Yes,3.1,0.0063136456211812,,,,,385.0,5.1,413.0,3.7,403,3.4,409,3.8,388.0,3.4,402.0,3.6,399,3.1,416,2.4,413.0,3.1,411,3.3
Denmark,,11.04301,11.18781,11.12363,10.86808,10.9013,10.77338,10.98011,10.82993,10.88109,,11.85861,12.29823,12.03953,11.95539,11.91596,11.91163,12.08571,11.85848,11.9836,,13.09029,12.14557,11.31192,11.4558,11.53774,11.42235,12.35272,12.79789,12.74848,,11.04301,11.18781,11.12363,10.86808,10.9013,10.77338,10.98011,10.82993,10.88109,,11.85861,12.29823,12.03953,11.95539,11.91596,11.91163,12.08571,11.85848,11.9836,,13.09029,12.14557,11.31192,11.4558,11.53774,11.42235,12.35272,12.79789,12.74848,39118.963207,41474.145014,40506.924302,43044.876027,44446.57809,44761.579789,46883.131074,47880.687634,48906.109829,51814.23663,55270.419717,57231.330513,60568.735529,62700.581101,70370.110899,78255.728928,4.034499,4.505544,4.553352,4.133907,4.513423,4.445553,4.674357,,3.829105,3.733292,3.697377,3.65236,3.6984589,99.6026,99.6646,100.0,99.7967,100.0,100.0,100.0,98.9506,99.736,99.7325,99.358,,,,,0.251,0.249,0.254,0.256,0.263,0.261,0.264,0.263,0.268,,,,514.0,2.7,513.0,2.6,503.0,2.6,500,2.3,511,2.2,489,1.9,No,1.0,0.0172413793103448,497.0,2.4,492.0,2.8,494.0,3.2,495.0,2.1,496,2.6,500,2.5,496.0,3.1,499.0,2.5,498,2.7,502,2.4,493.0,1.9,494,2.5
Estonia,9.801743,9.87089,9.544436,10.06884,10.04268,10.12046,10.00601,10.03893,10.04129,10.10753,13.04003,12.8923,13.34731,13.19222,13.19183,13.14622,12.85642,12.5425,12.24886,12.07328,14.12003,14.64925,15.22944,15.03899,15.59045,15.71224,15.36798,15.61386,16.16535,16.16849,9.801743,9.87089,9.544436,10.06884,10.04268,10.12046,10.00601,10.03893,10.04129,10.10753,13.04003,12.8923,13.34731,13.19222,13.19183,13.14622,12.85642,12.5425,12.24886,12.07328,14.12003,14.64925,15.22944,15.03899,15.59045,15.71224,15.36798,15.61386,16.16535,16.16849,22164.669641,22781.183415,20460.095802,21587.112349,24610.451711,26192.961132,27784.711585,29375.58987,29760.31351,31945.124614,34553.447713,37201.036993,40650.011527,40691.474697,45092.819159,49137.218267,3.724383,4.026403,3.7477,3.239097,3.149691,3.097016,2.61887,2.711455,2.69122,2.762699,2.954122,3.048966,3.161783,99.6445,99.1811,100.0,100.0,100.0,99.6613,99.6162,99.4439,99.4739,99.7256,99.1776,,,,,,,0.356,0.346,0.33,0.314,0.309,0.305,0.305,0.305,0.321,,,,515.0,2.7,512.0,2.6,521,2.0,520,2.0,510,2.0,Yes,0.1,0.0076923076923076,,,,,501.0,2.9,501.0,2.6,516,2.0,519,2.2,531.0,2.5,528.0,2.7,541,1.9,534,2.1,530.0,1.9,526,2.1
Finland,9.028017,8.935688,8.96968,8.99594,8.926028,8.921292,8.774289,8.558296,8.483372,8.701591,13.19718,13.33204,13.58436,13.32179,13.66688,13.58471,13.52761,13.11219,13.36178,12.82658,15.99444,16.24415,16.47436,17.21309,18.21405,18.8631,17.53556,17.32594,16.94601,17.03925,9.028017,8.935688,8.96968,8.99594,8.926028,8.921292,8.774289,8.558296,8.483372,8.701591,13.19718,13.33204,13.58436,13.32179,13.66688,13.58471,13.52761,13.11219,13.36178,12.82658,15.99444,16.24415,16.47436,17.21309,18.21405,18.8631,17.53556,17.32594,16.94601,17.03925,37844.446396,40081.225921,37968.445255,38950.213166,40845.76575,40738.873438,41325.582876,41539.598953,42250.407743,44562.440813,47234.988667,49242.642829,52276.174135,53285.422279,57345.840681,62224.624432,3.557376,3.875,3.907402,3.858106,3.887309,3.878606,3.887987,3.936406,3.819765,3.587321,3.581989,3.699126,3.818289,99.6342,99.6081,99.6982,98.9671,100.0,99.6833,100.0,100.0,100.0,100.0,100.0,0.269,0.264,0.259,0.264,0.264,0.26,0.262,0.257,0.26,0.259,0.266,0.269,0.273,0.265,0.273,0.274,544.0,1.9,548.0,2.3,541.0,2.2,519,1.9,511,2.3,507,2.0,No,0.8,0.0145454545454545,546.0,2.6,543.0,1.6,547.0,2.1,536.0,2.3,524,2.4,526,2.5,563.0,2.0,554.0,2.3,545,2.2,531,2.4,522.0,2.5,511,2.5
France,14.43441,14.41778,14.43332,14.45957,14.39428,14.39259,14.4644,14.60925,14.54937,14.69806,19.68351,19.641,19.69279,19.62657,19.39739,19.08383,18.65882,18.4201,18.2638,18.20954,11.05997,11.0999,11.12791,11.21048,11.26377,11.2292,11.16014,11.28164,11.30459,11.49421,14.43441,14.41778,14.43332,14.45957,14.39428,14.39259,14.4644,14.60925,14.54937,14.69806,19.68351,19.641,19.69279,19.62657,19.39739,19.08383,18.65882,18.4201,18.2638,18.20954,11.05997,11.0999,11.12791,11.21048,11.26377,11.2292,11.16014,11.28164,11.30459,11.49421,34196.53396,35192.053589,34809.904581,36065.758128,37675.402351,37841.735437,39772.37203,40395.672439,41049.722877,42983.74958,44527.541602,46397.534631,51119.646958,49462.66611,53878.485673,57860.342201,3.450149,3.639756,3.59918,3.468539,3.443588,3.430057,3.432445,3.391426,3.371855,3.393905,3.362569,3.343979,3.531127,98.9627,98.475,98.1223,97.85,98.3412,98.1235,96.1309,97.6498,,98.4025,98.9064,,,,,,,,,,,,,,0.278,0.298,,511.0,2.5,496.0,3.2,497.0,3.1,495,2.5,493,2.1,495,2.3,Yes,14.5,0.0216741405082212,505.0,2.7,496.0,2.7,488.0,4.1,496.0,3.4,505,2.8,499,2.5,495.0,3.4,498.0,3.6,499,2.6,495,2.1,493.0,2.2,487,2.7
Germany,13.61092,13.38679,13.26105,13.18906,13.1517,13.02591,12.92525,12.83379,12.77536,12.80319,15.6204,15.4396,15.44748,15.32182,15.39629,15.26477,15.05938,14.86324,14.80373,14.86799,13.21518,13.06022,12.9971,12.90393,12.70155,12.57016,12.3505,12.17859,12.08029,12.0323,13.61092,13.38679,13.26105,13.18906,13.1517,13.02591,12.92525,12.83379,12.77536,12.80319,15.6204,15.4396,15.44748,15.32182,15.39629,15.26477,15.05938,14.86324,14.80373,14.86799,13.21518,13.06022,12.9971,12.90393,12.70155,12.57016,12.3505,12.17859,12.08029,12.0323,37496.177323,39084.285618,38216.703187,40469.325876,43398.326075,44229.318933,45888.78792,47938.52079,48545.172477,51569.697552,54110.276915,56272.919757,59270.693277,58685.779258,62950.119395,67939.848538,2.665563,,2.912663,2.794813,2.72631,2.71073,2.678556,2.627931,2.600421,2.595507,2.62894,2.696213,2.9056029,99.2189,99.2881,99.2614,99.2863,99.6,99.37,99.6227,99.4621,99.2505,98.4924,97.5763,,0.285,,,0.291,0.289,0.292,0.289,0.293,0.294,0.289,0.289,0.296,0.303,,,503.0,3.3,504.0,3.9,513.0,2.9,514,2.9,506,2.9,500,2.6,No,23.8,0.0287092882991556,484.0,2.5,491.0,3.4,495.0,4.4,497.0,2.7,508,2.8,509,3.0,516.0,3.8,520.0,2.8,524,3.0,509,2.7,503.0,2.9,492,3.5
Hungary,10.43068,10.91429,10.59336,10.31984,10.44658,11.00035,11.27406,11.43365,11.31446,10.97898,,11.45953,11.23504,11.01504,10.80023,10.17587,10.00556,9.956081,10.25495,10.51831,12.04039,12.48721,11.47245,11.10566,11.45668,11.86775,11.47506,11.5173,10.2034,11.05714,10.43068,10.91429,10.59336,10.31984,10.44658,11.00035,11.27406,11.43365,11.31446,10.97898,,11.45953,11.23504,11.01504,10.80023,10.17587,10.00556,9.956081,10.25495,10.51831,12.04039,12.48721,11.47245,11.10566,11.45668,11.86775,11.47506,11.5173,10.2034,11.05714,19089.99024,20708.761512,20680.672506,21693.402118,22992.218466,23221.166963,24591.637972,25796.210176,26937.732143,28178.94493,29728.012222,32258.257766,35627.231655,35583.585618,39213.308281,43892.055969,2.912021,2.844634,2.710769,1.5485,2.415696,2.303172,2.67337,2.624748,2.803348,2.60707,2.540676,2.426399,2.393662,97.6124,98.6216,99.3103,98.1702,100.0,99.4128,98.5709,99.3197,99.2178,99.4085,98.6627,0.257,0.246,0.241,0.266,0.269,0.279,0.286,0.281,0.284,0.28,0.289,0.28,0.286,0.28,0.278,,490.0,2.8,491.0,2.9,490.0,3.5,477,3.2,477,2.5,481,2.3,Yes,5.1,0.0520408163265306,480.0,4.0,482.0,2.5,482.0,3.3,494.0,3.2,488,3.2,470,2.7,504.0,2.7,503.0,3.1,494,2.9,477,2.4,481.0,2.3,486,2.7
