Reference area,GDP_PPP_2007,GDP_PPP_2008,GDP_PPP_2009,GDP_PPP_2010,GDP_PPP_2011,GDP_PPP_2012,GDP_PPP_2013,GDP_PPP_2014,GDP_PPP_2015,GDP_PPP_2016,GDP_PPP_2017,GDP_PPP_2018,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021,GDP_PPP_2022,GDP_Education_Exp_2008,GDP_Education_Exp_2009,GDP_Education_Exp_2010,GDP_Education_Exp_2011,GDP_Education_Exp_2012,GDP_Education_Exp_2013,GDP_Education_Exp_2014,GDP_Education_Exp_2015,GDP_Education_Exp_2016,GDP_Education_Exp_2017,GDP_Education_Exp_2018,GDP_Education_Exp_2019,GDP_Education_Exp_2020
Austria,39195.21023,41046.588773,40674.463342,41751.770355,44187.934579,46176.661052,47534.358331,48369.190925,49624.985137,52379.036736,53885.119966,56654.565353,60370.444015,58523.131078,63606.453145,71014.499891,,,,,2.993731,3.071253,2.979963,2.980174,2.988191,2.941086,2.827367,2.800769,2.9595871
Canada,39575.492232,40376.111571,38864.049261,40098.303365,41666.848683,42291.886605,44300.991977,45758.133114,44668.065118,46470.675161,48317.404026,49982.649045,50498.963113,48590.716417,55781.70262,62041.556862,3.209979,3.324768,3.539711,3.414058,3.339135,3.265116,3.197652,3.170711,3.2598,3.259545,3.221834,3.181777,3.3569641
Chile,16771.182748,16449.614266,16028.549544,18041.314313,20235.570348,21458.812331,22295.740021,22650.712398,22563.582179,23384.612377,24479.458726,25496.431051,25733.103669,25236.623574,28776.711223,31227.991341,2.802036,3.031165,2.673376,2.632025,2.929083,2.646546,2.466476,2.630576,2.994949,3.000646,3.02345,3.130065,3.1286011
Colombia,10228.188007,10651.506633,10720.914286,11206.221832,12108.234854,12530.807654,13266.002148,13777.241959,13762.750912,14514.224389,14930.865719,15814.696386,16712.410595,15950.508981,18141.946227,21630.618644,3.916961,3.506992,3.281409,3.111201,3.019483,3.291633,3.093037,3.123892,3.065175,3.152782,3.204235,3.432741,4.1143298
Czechia,26207.845723,27817.062758,27573.257049,28042.302009,29235.560699,29476.5875,31048.122456,32810.686828,34217.975632,36627.605125,39620.866229,42016.459957,46139.564802,45675.064521,50019.137336,53270.198419,2.270408,2.491078,2.431169,2.453234,2.486302,2.415625,2.390923,2.408261,2.278536,2.436761,2.684517,2.924605,3.1220601
Denmark,39118.963207,41474.145014,40506.924302,43044.876027,44446.57809,44761.579789,46883.131074,47880.687634,48906.109829,51814.23663,55270.419717,57231.330513,60568.735529,62700.581101,70370.110899,78255.728928,4.034499,4.505544,4.553352,4.133907,4.513423,4.445553,4.674357,,3.829105,3.733292,3.697377,3.65236,3.6984589
Estonia,22164.669641,22781.183415,20460.095802,21587.112349,24610.451711,26192.961132,27784.711585,29375.58987,29760.31351,31945.124614,34553.447713,37201.036993,40650.011527,40691.474697,45092.819159,49137.218267,3.724383,4.026403,3.7477,3.239097,3.149691,3.097016,2.61887,2.711455,2.69122,2.762699,2.954122,3.048966,3.161783
Finland,37844.446396,40081.225921,37968.445255,38950.213166,40845.76575,40738.873438,41325.582876,41539.598953,42250.407743,44562.440813,47234.988667,49242.642829,52276.174135,53285.422279,57345.840681,62224.624432,3.557376,3.875,3.907402,3.858106,3.887309,3.878606,3.887987,3.936406,3.819765,3.587321,3.581989,3.699126,3.818289
France,34196.53396,35192.053589,34809.904581,36065.758128,37675.402351,37841.735437,39772.37203,40395.672439,41049.722877,42983.74958,44527.541602,46397.534631,51119.646958,49462.66611,53878.485673,57860.342201,3.450149,3.639756,3.59918,3.468539,3.443588,3.430057,3.432445,3.391426,3.371855,3.393905,3.362569,3.343979,3.531127
Germany,37496.177323,39084.285618,38216.703187,40469.325876,43398.326075,44229.318933,45888.78792,47938.52079,48545.172477,51569.697552,54110.276915,56272.919757,59270.693277,58685.779258,62950.119395,67939.848538,2.665563,,2.912663,2.794813,2.72631,2.71073,2.678556,2.627931,2.600421,2.595507,2.62894,2.696213,2.9056029
