"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2009"
"Category","Public spending on education"
"Norway",4.99576
"Iceland",4.578182
"Denmark",4.505544
"Costa Rica",4.359462
"Ireland",4.317081
"Belgium",4.152045
"Brazil",4.129032
"Estonia",4.026403
"Argentina",4.022185
"Sweden",3.920606
"Finland",3.875
"New Zealand",3.828811
"Portugal",3.824104
"Lithuania",3.653911
"United States",3.646746
"France",3.639756
"Latvia",3.617473
"Luxembourg",3.574555
"OECD - Average",3.560601
"Australia",3.558342
"Slovenia",3.520156
"Colombia",3.506992
"Israel",3.455666
"Poland",3.37733
"Canada",3.324768
"Netherlands",3.282035
"Switzerland",3.202997
"United Kingdom",3.184743
"Italy",3.158257
"Mexico",3.15824
"G20",3.114511
"Chile",3.031165
"Spain",3.025461
"Hungary",2.844634
"Slovak Rep.",2.511318
"Czechia",2.491078
"Indonesia",2.38484
"Türkiye",2.351217
"Russia",2.139666
"India",1.790854
