Reference area,TIME_PERIOD,OBS_VALUE
Albania,2007,7284.98924
Albania,2008,8228.360546
Albania,2009,8812.783475
Albania,2010,9627.080037
Albania,2011,10207.740986
Albania,2012,10526.277348
Albania,2013,10571.021659
Albania,2014,11259.216046
Albania,2015,11658.911771
Albania,2016,12078.871704
Albania,2017,12771.011634
Albania,2018,13498.187474
Albania,2019,14618.338927
Albania,2020,14407.774428
Argentina,2007,16731.384195
Argentina,2008,17571.533887
Argentina,2009,16472.715244
Argentina,2010,18066.49913
Argentina,2011,19322.22713
Argentina,2012,19629.898035
Argentina,2013,20108.205697
Argentina,2014,19649.352888
Argentina,2015,20058.338641
Argentina,2016,20248.721388
Argentina,2017,23514.667098
Argentina,2018,24498.378921
Argentina,2019,23535.01275
Argentina,2020,22290.563043
Argentina,2021,26050.657854
Argentina,2022,29112.800407
Australia,2007,39703.469623
Australia,2008,40136.06886
Australia,2009,41684.56865
Australia,2010,42823.927966
Australia,2011,44460.605016
Australia,2012,43911.683304
Australia,2013,47796.022174
Australia,2014,47648.633963
Australia,2015,47266.591718
Australia,2016,50152.476571
Australia,2017,50761.909452
Australia,2018,53125.903609
Australia,2019,53681.424509
Australia,2020,56905.500543
Australia,2021,64120.473853
Australia,2022,71753.645427
Austria,2007,39195.21023
Austria,2008,41046.588773
Austria,2009,40674.463342
Austria,2010,41751.770355
Austria,2011,44187.934579
Austria,2012,46176.661052
Austria,2013,47534.358331
Austria,2014,48369.190925
Austria,2015,49624.985137
Austria,2016,52379.036736
Austria,2017,53885.119966
Austria,2018,56654.565353
Austria,2019,60370.444015
Austria,2020,58523.131078
Austria,2021,63606.453145
Austria,2022,71014.499891
Belgium,2007,36799.551299
Belgium,2008,37883.233422
Belgium,2009,37885.895654
Belgium,2010,39844.362909
Belgium,2011,41244.706461
Belgium,2012,42483.621887
Belgium,2013,43864.147826
Belgium,2014,45147.489111
Belgium,2015,46071.876832
Belgium,2016,48414.638613
Belgium,2017,50255.854035
Belgium,2018,52466.553021
Belgium,2019,56712.355972
Belgium,2020,56119.616238
Belgium,2021,61873.441744
Belgium,2022,69456.953283
Brazil,2007,12639.928746
Brazil,2008,13399.986553
Brazil,2009,13328.167147
Brazil,2010,14363.566322
Brazil,2011,15109.737403
Brazil,2012,15087.820528
Brazil,2013,15602.383358
