STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,IRL,Ireland,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2017,,96.0606,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2019,,98.615,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2020,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,ITA,Italy,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2018,,93.4665,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,ITA,Italy,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2019,,94.367,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2013,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2014,,99.5645,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2015,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2016,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,PRT,Portugal,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2018,,99.4775,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
