STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,EDUCATION_LEV,Education level,MEASURE,Measure,EDUCATION_TYPE,Education type,INTENSITY,Intensity,EDUCATION_FIELD,Field of education,GRADE,Grade,FREQ,Frequency of observation,ORIGIN,Origin,DESTINATION,Destination,INST_TYPE_EDU,Type of educational institution,MOBILITY,Mobility,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_AGES,Reference date for ages,ORIGIN_CRITERION,Origin criterion,REPYEARSTART,Reference year start,REPYEAREND,Reference year end,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,COMMENT_OBS,Observation comment,DECIMALS,Decimals,TIME_PER_COLLECT,Time period collection,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,IRL,Ireland,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2020,,12.4183,,,,,,,,,,W,Includes data from another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,IRL,Ireland,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2015,,13.87066,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,LVA,Latvia,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2022,,12.56929,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,SVN,Slovenia,ISCED11_2,Lower secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2020,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2017,,16.89465,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2016,,16.94602,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2014,,19.62179,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2013,,20.67347,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,IRL,Ireland,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2019,,12.83553,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,IRL,Ireland,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2018,,12.89237,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,LVA,Latvia,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2021,,11.75519,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,IRL,Ireland,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2016,,13.75433,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GRC,Greece,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2018,,9.436403,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GRC,Greece,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2014,,197.6752,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GRC,Greece,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2013,,8.06837,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2022,,9.928383,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2021,,10.0416,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2020,,10.13738,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2019,,10.36682,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2018,,10.09475,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2017,,10.15372,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2016,,10.14829,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2015,,10.28025,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2014,,10.28994,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,NOR,Norway,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2013,,10.34097,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2022,,19.41647,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2021,,19.21614,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2020,,19.61903,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,IRL,Ireland,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2014,,13.93629,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,GBR,United Kingdom,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2018,,19.8935,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,CRI,Costa Rica,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2016,,12.60779,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,CRI,Costa Rica,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2015,,13.85848,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,CRI,Costa Rica,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2014,,14.28597,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,CRI,Costa Rica,ISCED11_3,Upper secondary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2013,,13.81234,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_STR(1.0),Ratio of students to teaching staff by type of institution,I,KOR,Korea,ISCED11_1,Primary education,STU_PERS,Students adjusted to personnel,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_Z,Not applicable,ST_TCHR,Students per teacher,_T,Total,_T,Total,2022,,15.82367,,,,,,,,,,A,Normal value,,,,,2,Two,,,0,Units
