Country,lower_secondary_education_2013,lower_secondary_education_2014,lower_secondary_education_2015,lower_secondary_education_2016,lower_secondary_education_2017,lower_secondary_education_2018,lower_secondary_education_2019,lower_secondary_education_2020,lower_secondary_education_2021,lower_secondary_education_2022,primary_education_2013,primary_education_2014,primary_education_2015,primary_education_2016,primary_education_2017,primary_education_2018,primary_education_2019,primary_education_2020,primary_education_2021,primary_education_2022,upper_secondary_education_2013,upper_secondary_education_2014,upper_secondary_education_2015,upper_secondary_education_2016,upper_secondary_education_2017,upper_secondary_education_2018,upper_secondary_education_2019,upper_secondary_education_2020,upper_secondary_education_2021,upper_secondary_education_2022
Austria,8.983603,8.816582,8.729805,8.639338,8.564764,8.499137,8.543038,8.636123,8.733172,8.571602,11.91879,11.95018,11.8426,11.62812,11.267,11.54974,11.98269,12.15034,12.01747,12.68971,9.854163,9.992294,10.14933,10.09498,10.10002,10.09426,10.09196,9.929703,10.03641,9.723631
Canada,,,,,,,,,,,16.47747,16.57027,16.97779,16.85549,16.22543,16.69084,16.43346,16.3487,15.95369,16.07112,13.77321,12.79449,12.96585,12.24395,13.08584,13.25256,13.00162,12.77639,12.13837,12.33142
Chile,24.2923,22.82782,21.87772,21.08068,20.38932,20.15407,19.213,20.08781,19.85217,19.34682,22.52519,21.31813,20.89122,20.29292,19.77019,19.41067,18.59459,18.6257,18.36397,17.92019,25.06155,23.87927,22.97504,22.08559,21.17271,20.5876,19.96,19.61002,19.84476,18.96097
Colombia,,26.27563,26.69519,26.19906,26.41088,26.3074,26.86258,28.19328,28.57915,27.04518,,24.28676,24.23937,24.23078,23.60132,23.3015,23.07121,23.76726,24.18987,22.9032,22.94237,21.90267,25.93847,25.59739,25.05716,24.95251,24.33077,21.99815,22.56695,22.21067
Costa Rica,14.05056,14.39949,14.00697,12.80798,13.72269,13.2611,13.663,13.19087,13.74487,13.42991,13.34199,13.22687,12.6763,11.97865,11.64269,11.57505,11.66893,11.45885,11.40687,11.18175,13.81234,14.28597,13.85848,12.60779,13.43582,13.0338,13.62971,13.09918,13.91454,13.65333
Czechia,11.18841,11.87654,11.84082,12.00647,12.11421,12.44979,12.61113,12.55357,12.41031,12.22088,18.78841,18.67721,18.97432,19.14894,19.13843,19.19829,18.73295,18.04115,17.45599,16.99155,11.09028,11.65092,11.13531,11.02166,11.1191,11.36606,10.51582,10.33682,10.3673,10.42597
Denmark,,11.04301,11.18781,11.12363,10.86808,10.9013,10.77338,10.98011,10.82993,10.88109,,11.85861,12.29823,12.03953,11.95539,11.91596,11.91163,12.08571,11.85848,11.9836,,13.09029,12.14557,11.31192,11.4558,11.53774,11.42235,12.35272,12.79789,12.74848
Estonia,9.801743,9.87089,9.544436,10.06884,10.04268,10.12046,10.00601,10.03893,10.04129,10.10753,13.04003,12.8923,13.34731,13.19222,13.19183,13.14622,12.85642,12.5425,12.24886,12.07328,14.12003,14.64925,15.22944,15.03899,15.59045,15.71224,15.36798,15.61386,16.16535,16.16849
Finland,9.028017,8.935688,8.96968,8.99594,8.926028,8.921292,8.774289,8.558296,8.483372,8.701591,13.19718,13.33204,13.58436,13.32179,13.66688,13.58471,13.52761,13.11219,13.36178,12.82658,15.99444,16.24415,16.47436,17.21309,18.21405,18.8631,17.53556,17.32594,16.94601,17.03925
France,14.43441,14.41778,14.43332,14.45957,14.39428,14.39259,14.4644,14.60925,14.54937,14.69806,19.68351,19.641,19.69279,19.62657,19.39739,19.08383,18.65882,18.4201,18.2638,18.20954,11.05997,11.0999,11.12791,11.21048,11.26377,11.2292,11.16014,11.28164,11.30459,11.49421
