STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,INST_TYPE_EDU,Type of educational institution,EDUCATION_LEV,Education level,PERS_TYPE,Type of personnel,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,STATISTICAL_OPERATION,Statistical operation,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2007,,1086.84706,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2008,,1101.22356,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2009,,1108.79783,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2010,,1104.79325,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2011,,1119.98218,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2012,,1103.34283,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2013,,1128.55618,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2014,,1145.81344,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2015,,1157.36,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2016,,1158.43054,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2017,,1063.55521,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2018,,1063.47314,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2019,,998.82,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2020,,1015.56,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,2021,,,,O,Missing value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,TE,Teacher,2007,,1086.84706,,A,Normal value,,,OBS,Observed,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT_TREND@DF_EAG_WT_TREND(1.1),Trends in teachers' statutory teaching time since 2000,I,CHL,Chile,WKT_STA_TCH,Statutory teaching time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,TE,Teacher,2008,,1101.22356,,A,Normal value,,,OBS,Observed,0,Zero
