Country,lower_secondary_general_2007_hours,lower_secondary_general_2008_hours,lower_secondary_general_2009_hours,lower_secondary_general_2010_hours,lower_secondary_general_2011_hours,lower_secondary_general_2012_hours,lower_secondary_general_2013_hours,lower_secondary_general_2014_hours,lower_secondary_general_2015_hours,lower_secondary_general_2016_hours,lower_secondary_general_2017_hours,lower_secondary_general_2018_hours,lower_secondary_general_2019_hours,lower_secondary_general_2020_hours,lower_secondary_general_2021_hours,primary_2007_hours,primary_2008_hours,primary_2009_hours,primary_2010_hours,primary_2011_hours,primary_2012_hours,primary_2013_hours,primary_2014_hours,primary_2015_hours,primary_2016_hours,primary_2017_hours,primary_2018_hours,primary_2019_hours,primary_2020_hours,primary_2021_hours,upper_secondary_general_2007_hours,upper_secondary_general_2008_hours,upper_secondary_general_2009_hours,upper_secondary_general_2010_hours,upper_secondary_general_2011_hours,upper_secondary_general_2012_hours,upper_secondary_general_2013_hours,upper_secondary_general_2014_hours,upper_secondary_general_2015_hours,upper_secondary_general_2016_hours,upper_secondary_general_2017_hours,upper_secondary_general_2018_hours,upper_secondary_general_2019_hours,upper_secondary_general_2020_hours,upper_secondary_general_2021_hours
Austria,606.6,606.6,606.6,606.6,606.6,606.6,606.6,606.6,606.6,606.6,606.6,606.6,616.71,634.55,622.64,774.0,779.4,779.4,779.4,779.4,779.4,779.4,779.4,779.4,779.4,779.4,779.4,792.39,814.0,796.4,588.6,588.6,588.6,588.6,588.6,588.6,588.6,588.6,588.6,588.6,588.6,588.6,598.41,604.95,591.87
Canada,,,,740.37249,743.20816,744.0,743.31383,743.0,741.85087,744.53292,744.53292,744.22533,,,,,,,799.31288,799.26561,799.0,795.85984,796.0,797.04658,797.7713,797.7713,797.14341,,,,,,,744.16763,747.00308,747.0,744.63642,744.0,742.97258,745.74031,745.74031,745.54889,,,
Chile,1086.84706,1101.22356,1108.79783,1104.79325,1119.98218,1103.34283,1128.55618,1145.81344,1157.36,1158.43054,1063.55521,1063.47314,998.82,1015.56,,1086.84706,1101.22356,1108.79783,1104.79325,1119.98218,1103.34283,1128.55618,1145.81344,1157.36,1158.43054,1063.55521,1063.47314,998.82,1015.56,,1086.84706,1101.22356,1108.79783,1104.79325,1119.98218,1103.34283,1128.55618,1145.81344,1157.36,1158.43054,1063.55521,1063.47314,998.82,1015.56,
Colombia,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,827.2,844.8,844.8,836.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,940.0,960.0,960.0,950.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,827.2,844.8,844.8,836.0
Costa Rica,,,,,,,,,1267.2,1267.2,1267.2,1267.2,1254.4,1248.0,1248.0,,,,,,,,,1188.0,1188.0,1188.0,1188.0,1176.0,1170.0,1209.0,,,,,,,,,1267.2,1267.2,1267.2,1267.2,1254.4,1248.0,1248.0
Czechia,636.9,636.9,623.7,646.8,630.3,620.4,620.4,617.1,617.1,617.1,617.1,617.1,620.4,636.9,630.3,849.2,849.2,831.6,862.4,840.4,827.2,827.2,822.8,822.8,617.1,617.1,617.1,620.4,636.9,630.3,607.95,607.95,595.35,617.4,601.65,592.2,592.2,589.05,589.05,589.05,589.05,589.05,592.2,607.95,573.0
Denmark,648.0,648.0,648.0,650.0,650.0,659.0,662.0,663.0,784.0,,,,709.0,696.0,690.0,648.0,648.0,648.0,650.0,650.0,659.0,662.0,663.0,784.0,,,,718.0,705.0,699.0,364.0,364.0,377.0,377.0,369.0,,,,453.0,468.0,481.0,489.0,502.0,517.0,
Estonia,630.0,630.0,630.0,630.0,619.2,619.2,619.2,619.2,619.2,602.0,602.0,602.0,605.5,609.0,609.0,630.0,630.0,630.0,630.0,619.2,619.2,619.2,619.2,619.2,584.8,584.8,584.8,588.2,591.6,591.6,577.5,577.5,577.5,577.5,567.6,567.6,567.6,567.6,567.6,567.6,567.6,567.6,570.9,574.2,574.2
Finland,592.2,592.2,592.2,595.35,595.35,589.05,589.05,589.05,592.2,595.35,589.05,592.2,592.2,589.05,595.35,676.8,676.8,676.8,680.4,680.4,673.2,673.2,673.2,676.8,680.4,673.2,676.8,676.8,673.2,680.4,550.088,550.088,550.088,553.014,553.014,547.162,547.162,547.162,550.088,553.014,547.162,550.088,550.84,547.91,567.0
France,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,684.0,684.0,684.0,684.0,720.0,720.0,924.0,924.0,924.0,924.0,924.0,923.9976,924.0,924.0,899.99995,900.0,900.0,900.0,900.0,900.0,900.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,684.0,684.0,684.0,684.0,720.0,720.0
