Country,2006_Mean,2006_SE,2009_Mean,2009_SE,2012_Mean,2012_SE,2015_Mean,2015_SE,2018_Mean,2018_SE,2022_Mean,2022_SE,Treatment,Pandemic_Deaths_2020,Education_Spending_Percent_GDP,GDP_Per_Capita_2018,COVID_Death_Percent_Population
Austria,506.0,3.3,505.0,3.7,,,506,2.7,497,2.9,499,3.0,Yes,0.8,5.5,51.73863636363636,0.00909090909090909
Canada,532.0,1.8,527.0,2.0,527.0,1.6,518,1.8,516,2.3,512,2.4,Yes,2.9,5.7,46.80323450134771,0.007816711590296496
Chile,,,,,411.0,4.6,421,3.1,423,3.1,417,2.4,Yes,3.4,5.0,15.946524064171124,0.01818181818181818
Colombia,,,,,370.0,3.8,381,3.2,376,2.9,391,3.0,Yes,3.1,4.5,6.861507128309571,0.006313645621181263
Czech Republic,516.0,3.5,510.0,3.6,493.0,2.8,499,2.9,492,2.4,487,2.1,Yes,1.2,4.1,23.132075471698112,0.011320754716981131
Denmark,514.0,2.7,513.0,2.6,503.0,2.6,500,2.3,511,2.2,489,1.9,No,1.0,4.9,60.70689655172414,0.017241379310344827
Estonia,,,515.0,2.7,512.0,2.6,521,2.0,520,2.0,510,2.0,Yes,0.1,4.8,23.53846153846154,0.007692307692307693
Finland,544.0,1.9,548.0,2.3,541.0,2.2,519,1.9,511,2.3,507,2.0,No,0.8,5.2,50.32727272727273,0.014545454545454545
France,511.0,2.5,496.0,3.2,497.0,3.1,495,2.5,493,2.1,495,2.3,Yes,14.5,5.3,41.69058295964125,0.021674140508221224
Germany,503.0,3.3,504.0,3.9,513.0,2.9,514,2.9,506,2.9,500,2.6,No,23.8,4.2,47.61881785283474,0.02870928829915561
Hungary,490.0,2.8,491.0,2.9,490.0,3.5,477,3.2,477,2.5,481,2.3,Yes,5.1,4.3,15.887755102040813,0.05204081632653061
Ireland,503.0,2.4,501.0,2.8,487.0,2.5,501,2.2,504,2.1,500,2.2,Yes,0.5,3.7,78.6938775510204,0.010204081632653062
Italy,466.0,3.1,462.0,2.3,483.0,1.9,485,2.0,490,2.8,487,2.8,Yes,36.5,4.1,34.53311258278146,0.06043046357615894
Japan,534.0,4.0,523.0,3.3,529.0,3.3,536,3.6,532,3.0,527,2.5,Yes,47.8,3.5,39.30039525691699,0.03778656126482213
Korea,525.0,2.4,534.0,3.1,556.0,3.8,539,3.5,536,3.9,517,3.5,Yes,5.0,4.6,31.38372093023256,0.009689922480620155
Latvia,483.0,3.7,486.0,3.0,482.0,3.1,491,2.8,482,1.9,496,2.0,Yes,0.7,5.2,17.947368421052634,0.0368421052631579
Lithuania,,,,,470.0,3.0,468,2.4,477,2.5,472,2.7,Yes,1.0,4.3,19.28571428571429,0.03571428571428571
Netherlands,,,513.0,2.9,507.0,2.9,508,5.1,511,3.5,503,2.4,No,20.0,5.4,53.12209302325582,0.11627906976744186
New Zealand,529.0,2.8,522.0,2.5,521.0,3.0,521,2.4,512,2.4,509,2.4,Yes,0.4,6.3,42.0204081632653,0.00816326530612245
Norway,505.0,2.8,500.0,2.8,484.0,3.2,503,2.6,504,3.2,513,2.5,No,0.6,7.1,81.9245283018868,0.011320754716981131
Portugal,470.0,4.5,478.0,3.7,472.0,3.6,489,3.1,488,3.8,498,2.7,Yes,6.8,5.0,23.466019417475724,0.06601941747572816
Slovak Republic,,,469.0,3.1,466.0,3.1,477,2.5,463,4.2,453,2.8,No,2.8,4.0,19.72222222222222,0.05185185185185185
Slovenia,,,,,494.0,1.0,483,1.0,481,1.2,505,1.5,Yes,1.2,4.6,26.0,0.05714285714285715
Spain,493.0,2.7,481.0,2.6,461.0,2.2,481,2.0,488,1.9,496,2.4,Yes,75.0,4.9,30.58886509635974,0.16059957173447537
Sweden,516.0,2.2,514.0,2.4,507.0,3.4,497,2.9,483,3.0,500,3.5,No,6.2,4.8,54.51960784313726,0.060784313725490195
United Kingdom,,,,,495.0,2.3,494,2.3,499,3.5,498,2.8,Yes,128.5,6.1,42.86165413533835,0.19323308270676692
