Country,2006_Mean,2006_SE,2009_Mean,2009_SE,2012_Mean,2012_SE,2015_Mean,2015_SE,2018_Mean,2018_SE,2022_Mean,2022_SE,Country Code,ict_national,Population_2018,GDP_2018_USD
Austria,506.0,3.3,505.0,3.7,,,506,2.7,497,2.9,499,3.0,AUT,Yes,8.8,455.3
Chile,,,,,411.0,4.6,421,3.1,423,3.1,417,2.4,CHL,Yes,18.7,298.2
Colombia,,,,,370.0,3.8,381,3.2,376,2.9,391,3.0,COL,Yes,49.1,336.9
Czech Republic,516.0,3.5,510.0,3.6,493.0,2.8,499,2.9,492,2.4,487,2.1,CZE,Yes,10.6,245.2
Denmark,514.0,2.7,513.0,2.6,503.0,2.6,500,2.3,511,2.2,489,1.9,DNK,No,5.8,352.1
Estonia,,,515.0,2.7,512.0,2.6,521,2.0,520,2.0,510,2.0,EST,Yes,1.3,30.6
Finland,544.0,1.9,548.0,2.3,541.0,2.2,519,1.9,511,2.3,507,2.0,FIN,No,5.5,276.8
France,511.0,2.5,496.0,3.2,497.0,3.1,495,2.5,493,2.1,495,2.3,FRA,Yes,66.9,2789.1
Germany,503.0,3.3,504.0,3.9,513.0,2.9,514,2.9,506,2.9,500,2.6,DEU,No,82.9,3947.6
Hungary,490.0,2.8,491.0,2.9,490.0,3.5,477,3.2,477,2.5,481,2.3,HUN,Yes,9.8,155.7
Ireland,503.0,2.4,501.0,2.8,487.0,2.5,501,2.2,504,2.1,500,2.2,IRL,Yes,4.9,385.6
Italy,466.0,3.1,462.0,2.3,483.0,1.9,485,2.0,490,2.8,487,2.8,ITA,Yes,60.4,2085.8
Japan,534.0,4.0,523.0,3.3,529.0,3.3,536,3.6,532,3.0,527,2.5,JPN,Yes,126.5,4971.5
Korea,525.0,2.4,534.0,3.1,556.0,3.8,539,3.5,536,3.9,517,3.5,KOR,Yes,51.6,1619.4
Latvia,483.0,3.7,486.0,3.0,482.0,3.1,491,2.8,482,1.9,496,2.0,LVA,Yes,1.9,34.1
Lithuania,,,,,470.0,3.0,468,2.4,477,2.5,472,2.7,LTU,Yes,2.8,54.0
Netherlands,,,513.0,2.9,507.0,2.9,508,5.1,511,3.5,503,2.4,NLD,No,17.2,913.7
New Zealand,529.0,2.8,522.0,2.5,521.0,3.0,521,2.4,512,2.4,509,2.4,NZL,Yes,4.9,205.9
Norway,505.0,2.8,500.0,2.8,484.0,3.2,503,2.6,504,3.2,513,2.5,NOR,No,5.3,434.2
Portugal,470.0,4.5,478.0,3.7,472.0,3.6,489,3.1,488,3.8,498,2.7,PRT,Yes,10.3,241.7
Slovak Republic,,,469.0,3.1,466.0,3.1,477,2.5,463,4.2,453,2.8,SVK,No,5.4,106.5
Slovenia,,,,,494.0,1.0,483,1.0,481,1.2,505,1.5,SVN,Yes,2.1,54.6
Spain,493.0,2.7,481.0,2.6,461.0,2.2,481,2.0,488,1.9,496,2.4,ESP,Yes,46.7,1428.5
Sweden,516.0,2.2,514.0,2.4,507.0,3.4,497,2.9,483,3.0,500,3.5,SWE,No,10.2,556.1
United Kingdom,,,,,495.0,2.3,494,2.3,499,3.5,498,2.8,GBR,Yes,66.5,2850.3
