Country,2006_Mean,2006_SE,2009_Mean,2009_SE,2012_Mean,2012_SE,2015_Mean,2015_SE,2018_Mean,2018_SE,2022_Mean,2022_SE,Country Code,ict_subnational,Population_2018,GDP_2018_USD
Austria,492.0,2.7,491.0,3.8,490.0,4.1,,,490,2.8,485,2.8,AUT,Yes,8.8,455.3
Canada,534.0,1.6,528.0,1.7,527.0,2.4,524.0,1.5,523,1.9,520,1.8,CAN,Yes,37.1,1736.4
Czech Republic,492.0,2.4,489.0,3.5,483.0,4.2,478.0,2.9,493,2.9,487,2.6,CZE,Yes,10.6,245.2
Finland,546.0,2.6,543.0,1.6,547.0,2.1,536.0,2.3,524,2.4,526,2.5,FIN,No,5.5,276.8
France,505.0,2.7,496.0,2.7,488.0,4.1,496.0,3.4,505,2.8,499,2.5,FRA,Yes,66.9,2789.1
Germany,484.0,2.5,491.0,3.4,495.0,4.4,497.0,2.7,508,2.8,509,3.0,DEU,No,82.9,3947.6
Hungary,480.0,4.0,482.0,2.5,482.0,3.3,494.0,3.2,488,3.2,470,2.7,HUN,No,9.8,155.7
Ireland,527.0,3.2,515.0,2.6,517.0,3.5,496.0,3.0,523,2.6,521,2.5,IRL,No,4.9,385.6
Italy,487.0,2.9,476.0,3.0,469.0,2.4,486.0,1.6,490,2.0,485,2.7,ITA,No,60.4,2085.8
Korea,525.0,2.4,534.0,3.1,556.0,3.8,539.0,3.5,536,3.9,517,3.5,KOR,Yes,51.6,1619.4
Latvia,458.0,5.3,491.0,3.7,479.0,3.7,484.0,3.0,489,2.4,488,1.8,LVA,No,1.9,34.1
Lithuania,,,,,470.0,3.0,468.0,2.4,477,2.5,472,2.7,LTU,No,2.8,54.0
Slovak Republic,,,469.0,3.1,466.0,3.1,477.0,2.5,463,4.2,453,2.8,SVK,No,5.4,106.5
Spain,493.0,2.7,481.0,2.6,461.0,2.2,481.0,2.0,488,1.9,496,2.4,ESP,Yes,46.7,1428.5
United Kingdom,,,,,495.0,2.3,494.0,2.3,499,3.5,498,2.8,GBR,No,66.5,2850.3
