Country,2006_Mean,2006_SE,2009_Mean,2009_SE,2012_Mean,2012_SE,2015_Mean,2015_SE,2018_Mean,2018_SE,2022_Mean,2022_SE,Country Code,ict_national,Population_2018,GDP_2018_USD
Austria,511.0,3.9,,,506,2.7,495,2.4,490.0,2.8,491,2.7,AUT,Yes,8.8,455.3
Canada,534.0,2.0,529.0,1.6,525,1.9,528,2.1,518.0,2.2,515,1.9,CAN,Do not know (m),37.1,1736.4
Chile,438.0,4.3,447.0,2.9,445,2.9,447,2.4,444.0,2.4,444,2.5,CHL,Yes,18.7,298.2
Colombia,388.0,3.4,402.0,3.6,399,3.1,416,2.4,413.0,3.1,411,3.3,COL,Yes,49.1,336.9
Czech Republic,513.0,3.5,500.0,3.0,508,3.0,493,2.3,497.0,2.5,498,2.3,CZE,Yes,10.6,245.2
Denmark,496.0,3.1,499.0,2.5,498,2.7,502,2.4,493.0,1.9,494,2.5,DNK,No,5.8,352.1
Estonia,531.0,2.5,528.0,2.7,541,1.9,534,2.1,530.0,1.9,526,2.1,EST,Yes,1.3,30.6
Finland,563.0,2.0,554.0,2.3,545,2.2,531,2.4,522.0,2.5,511,2.5,FIN,No,5.5,276.8
France,495.0,3.4,498.0,3.6,499,2.6,495,2.1,493.0,2.2,487,2.7,FRA,Yes,66.9,2789.1
Germany,516.0,3.8,520.0,2.8,524,3.0,509,2.7,503.0,2.9,492,3.5,DEU,No,82.9,3947.6
Hungary,504.0,2.7,503.0,3.1,494,2.9,477,2.4,481.0,2.3,486,2.7,HUN,Yes,9.8,155.7
Ireland,508.0,3.2,508.0,3.3,522,2.5,503,2.4,496.0,2.2,504,2.3,IRL,Yes,4.9,385.6
Israel,454.0,3.7,455.0,3.1,470,5.0,467,3.4,462.0,3.6,465,3.4,ISR,Do not know (m),8.9,370.6
Italy,475.0,2.0,489.0,1.8,494,1.9,481,2.5,468.0,2.4,477,3.2,ITA,Yes,60.4,2085.8
Japan,531.0,3.4,539.0,3.4,547,3.6,538,3.0,529.0,2.6,547,2.8,JPN,Yes,126.5,4971.5
Korea,522.0,3.4,538.0,3.4,538,3.7,516,3.1,519.0,2.8,528,3.6,KOR,Yes,51.6,1619.4
Latvia,490.0,3.0,494.0,3.1,502,2.8,490,1.6,487.0,1.8,494,2.3,LVA,Yes,1.9,34.1
Lithuania,488.0,2.8,491.0,2.9,496,2.6,475,2.7,482.0,1.6,484,2.3,LTU,Yes,2.8,54.0
Netherlands,525.0,2.7,522.0,5.4,522,3.5,509,2.3,503.0,2.8,488,4.1,NLD,No,17.2,913.7
New Zealand,530.0,2.7,532.0,2.6,516,2.1,513,2.4,508.0,2.1,504,2.2,NZL,Yes,4.9,205.9
Norway,487.0,3.1,500.0,2.6,495,3.1,498,2.3,490.0,2.3,478,2.4,NOR,No,5.3,434.2
Portugal,474.0,3.0,493.0,2.9,489,3.7,501,2.4,492.0,2.8,484,2.6,PRT,Yes,10.3,241.7
Slovak Republic,488.0,2.6,490.0,3.0,471,3.6,461,2.6,464.0,2.3,462,3.0,SVK,No,5.4,106.5
Slovenia,519.0,1.1,512.0,1.1,514,1.3,513,1.3,507.0,1.3,500,1.4,SVN,Yes,2.1,54.6
Spain,488.0,2.6,488.0,2.1,496,1.8,493,2.1,,,485,1.6,ESP,Yes,46.7,1428.5
Sweden,503.0,2.4,495.0,2.7,485,3.0,493,3.6,499.0,3.1,494,2.4,SWE,No,10.2,556.1
Switzerland,512.0,3.2,517.0,2.8,515,2.7,506,2.9,495.0,3.0,503,2.2,CHE,Do not know (m),8.5,705.5
United Kingdom,515.0,2.3,514.0,2.5,514,3.4,509,2.6,505.0,2.6,500,2.4,GBR,Yes,66.5,2850.3
